ProductID,Product_Name,Category,Mass,Start_Year_of_Sales,Target_Year,Peak_Sales_Units,Time_to_peak,Sales_growth_rate,Sales_growth_sigmoid_midpoint,Sales_decay_rate,Sales_decay_sigmoid_midpoint,Minimum_Lifespan,Maximum_Lifespan,Mean_Lifespan,Std_dev_Lifespan
1,CRT TV,1,45,1962,2030,30620000,38,0.1408,19.86,1.014,6.325,1,20,14,5
2,CRT Monitor,1,20,1980,2030,16374168.02,19,0.274,16.31,0.6338,6.983,1,13,9,3
3,Desktop CPU,1,9.9,1980,2030,16375290,19,0.2739,16.31,0.1683,14.71,1,10,4,2
4,Laptops,1,3,1993,2030,28843485.5,17,0.5523,14.35,0.2179,11.66,1,9,4,1
5,LED Monitor,1,3.9,2009,2030,6081601.321,5,0.7004,3.43,0.8143,5.995,1,10,4,2
6,LED TV,1,10,2009,2030,41706600,8,0.7476,5.158,0.911,5.09,1,10,7,2
7,LCD Monitor,1,5.4,2000,2030,11095042.84,7,1.747,6.56,0.6424,5.877,1,10,4,2
8,LCD TV,1,14,2000,2030,28239700,9,1.147,7.53,0.69,5.138,1,10,7,2
9,Plasma TV,1,23,2002,2030,4416000,9,0.7254,4.676,1.029,3.811,1,10,7,2
10,Printer,1,8.1,1980,2030,22944000,28,0.3086,18.17,0.1877,12.2,1,10,7,2
11,Tablet,1,0.59,2009,2030,86466278.83,4,1.584,2.794,0.4468,7.241,1,5,3,1
